Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,22,28.4,4.55,21,23,.477,4.21,44,44,44,0,2,0,9,393.0,378,200,184,46,134,9,329,10,3,20,1658,97,4.06,1.303,8.7,1.1,3.1,7.5,2.46,288
Atlanta Braves,19,32.0,3.62,26,14,.650,3.36,40,40,39,1,6,1,12,358.2,309,145,134,40,119,6,343,14,2,8,1479,123,3.76,1.193,7.8,1.0,3.0,8.6,2.88,266
Baltimore Orioles,18,29.8,3.76,27,14,.659,3.26,41,41,41,0,4,0,13,375.0,301,154,136,41,117,2,360,14,2,13,1525,113,3.66,1.115,7.2,1.0,2.8,8.6,3.08,256
Boston Red Sox,20,29.7,3.53,22,21,.512,2.74,43,43,42,1,6,1,10,387.1,319,152,118,35,108,7,366,21,0,15,1584,152,3.39,1.102,7.4,0.8,2.5,8.5,3.39,279
Chicago Cubs,23,29.0,4.25,25,19,.568,3.69,44,44,44,0,3,0,12,390.2,358,187,160,41,147,4,376,17,1,16,1677,114,3.81,1.293,8.2,0.9,3.4,8.7,2.56,325
Chicago White Sox,20,28.5,4.89,14,30,.318,4.45,44,44,44,0,2,0,10,384.0,352,215,190,55,166,5,358,15,2,21,1663,91,4.52,1.349,8.3,1.3,3.9,8.4,2.16,300
Cincinnati Reds,17,29.2,4.33,18,25,.419,4.00,43,43,43,0,2,0,7,378.0,340,186,168,47,139,1,375,25,1,10,1616,108,4.04,1.267,8.1,1.1,3.3,8.9,2.70,298
Cleveland Guardians,19,28.1,3.66,27,17,.614,3.39,44,44,44,0,6,0,14,396.0,339,161,149,41,139,2,393,20,3,19,1647,113,3.67,1.207,7.7,0.9,3.2,8.9,2.83,308
Colorado Rockies,15,28.7,5.28,15,28,.349,5.03,43,43,43,0,1,0,8,377.1,404,227,211,44,169,2,278,10,0,17,1661,92,4.57,1.519,9.6,1.0,4.0,6.6,1.65,306
Detroit Tigers,16,28.5,3.88,21,22,.488,3.33,43,43,43,0,2,0,12,386.2,323,167,143,39,113,0,371,18,1,12,1591,120,3.52,1.128,7.5,0.9,2.6,8.6,3.28,273
Houston Astros,23,29.7,4.86,18,25,.419,4.67,43,43,42,1,3,1,6,380.0,367,209,197,48,178,1,365,22,5,18,1665,82,4.41,1.434,8.7,1.1,4.2,8.6,2.05,322
Kansas City Royals,19,29.3,3.49,26,19,.578,3.46,45,45,44,1,4,0,14,393.0,354,157,151,37,135,4,350,16,0,8,1653,118,3.70,1.244,8.1,0.8,3.1,8.0,2.59,319
Los Angeles Angels,19,29.8,5.14,16,28,.364,4.77,44,44,44,0,3,0,8,388.2,357,226,206,48,163,3,382,20,5,18,1670,86,4.16,1.338,8.3,1.1,3.8,8.8,2.34,282
Los Angeles Dodgers,25,29.7,3.47,29,16,.644,3.16,45,45,45,0,3,0,14,404.1,314,156,142,45,134,4,374,18,1,18,1643,131,3.83,1.108,7.0,1.0,3.0,8.3,2.79,281
Miami Marlins,26,26.7,5.56,13,32,.289,4.98,45,45,45,0,2,0,7,399.0,396,250,221,50,179,9,380,26,3,14,1770,85,4.37,1.441,8.9,1.1,4.0,8.6,2.12,332
Milwaukee Brewers,24,29.0,4.21,26,17,.605,3.96,43,43,43,0,2,0,15,382.0,352,181,168,51,144,6,343,18,3,10,1633,104,4.32,1.298,8.3,1.2,3.4,8.1,2.38,309
Minnesota Twins,21,28.7,4.21,24,18,.571,4.00,42,42,42,0,1,0,14,373.1,351,177,166,49,108,4,409,18,1,13,1573,97,3.64,1.229,8.5,1.2,2.6,9.9,3.79,279
New York Mets,25,31.3,4.43,19,23,.452,3.81,42,42,42,0,0,0,10,378.0,311,186,160,30,192,3,378,22,3,17,1627,102,3.84,1.331,7.4,0.7,4.6,9.0,1.97,316
New York Yankees,20,29.4,3.39,29,15,.659,2.98,44,44,44,0,4,0,17,393.0,313,149,130,41,150,1,375,25,4,12,1635,133,3.89,1.178,7.2,0.9,3.4,8.6,2.50,313
Oakland Athletics,19,29.8,4.73,19,26,.422,4.28,45,45,45,0,4,0,10,397.1,379,213,189,41,146,10,359,25,3,9,1698,91,3.93,1.321,8.6,0.9,3.3,8.1,2.46,298
Philadelphia Phillies,18,29.8,3.64,31,13,.705,3.19,44,44,42,2,6,2,13,395.0,329,160,140,35,126,2,407,15,2,19,1626,126,3.27,1.152,7.5,0.8,2.9,9.3,3.23,286
Pittsburgh Pirates,18,27.8,4.48,19,25,.432,4.05,44,44,43,1,1,0,12,391.1,363,197,176,52,139,5,372,18,4,10,1670,100,4.14,1.283,8.3,1.2,3.2,8.6,2.68,307
San Diego Padres,17,29.3,4.50,22,24,.478,4.12,46,46,46,0,3,0,12,408.1,360,207,187,53,141,5,396,19,2,19,1715,94,4.03,1.227,7.9,1.2,3.1,8.7,2.81,285
Seattle Mariners,19,27.8,3.59,24,20,.545,3.33,44,44,44,0,4,0,10,389.1,300,158,144,43,108,7,397,17,2,9,1570,112,3.47,1.048,6.9,1.0,2.5,9.2,3.68,247
San Francisco Giants,20,27.1,4.78,20,25,.444,4.56,45,45,45,0,3,0,7,393.0,398,215,199,40,141,1,364,25,1,13,1699,86,3.85,1.372,9.1,0.9,3.2,8.3,2.58,308
St. Louis Cardinals,18,31.5,4.77,18,25,.419,4.39,43,43,43,0,2,0,14,379.2,379,205,185,51,124,3,361,13,1,15,1612,93,4.04,1.325,9.0,1.2,2.9,8.6,2.91,274
Tampa Bay Rays,20,29.4,4.77,22,22,.500,4.31,44,44,44,0,2,0,13,396.2,373,210,190,58,132,4,384,20,1,11,1689,89,4.22,1.273,8.5,1.3,3.0,8.7,2.91,299
Texas Rangers,20,31.2,4.42,23,22,.511,4.11,45,45,45,0,3,0,9,396.0,337,199,181,44,168,9,379,23,2,15,1685,94,4.09,1.275,7.7,1.0,3.8,8.6,2.26,300
Toronto Blue Jays,21,30.9,4.74,19,23,.452,4.49,42,42,41,1,2,0,11,363.0,357,199,181,56,132,7,338,15,2,6,1562,87,4.47,1.347,8.9,1.4,3.3,8.4,2.56,276
Washington Nationals,17,30.0,4.19,20,22,.476,3.75,42,42,42,0,4,0,13,372.0,374,176,155,29,129,5,329,5,3,17,1579,106,3.43,1.352,9.0,0.7,3.1,8.0,2.55,292
League Average,20,29.3,4.31,22,22,.500,3.93,44,44,43,0,3,0,11,387,350,187,169,44,141,4,366,18,2,14,1636,102,3.94,1.268,8.1,1.0,3.3,8.5,2.60,294
